,y,yhat
221,-2429.0,-1979.8665
222,-2736.0,-2134.5361
223,-3068.0,-1763.7444
224,-1855.9999,-1513.998
225,-924.00006,-1116.1458
226,-821.9999,-595.4909
227,-452.0001,-139.01068
228,-252.0002,35.363747
229,-524.00024,-297.65164
230,-717.9998,-932.2399
231,-1007.00006,-1878.0514
232,-1484.0001,-2298.9766
233,-2228.0,-2783.8054
234,-2885.0,-3010.2505
235,-3229.0,-2059.4966
236,-3446.0,-1767.7096
237,-2866.0,-1441.428
238,-2717.0,-674.43134
239,-2092.0,267.57477
240,410.99994,716.1224
241,243.99995,587.46454
242,-179.0001,174.78189
243,-835.0,-162.84637
244,-1223.0,-506.60974
245,-1372.0,-683.2624
246,-1321.0,-395.92203
247,-1335.0,-373.05045
248,-696.00006,-113.298065
249,-600.00024,75.2276
250,-971.99994,190.59018
251,-801.0001,330.94934
252,-441.99994,391.99188
253,252.0002,220.59737
254,-41.000153,-557.2482
255,-592.0,-1139.6996
256,-1203.9998,-1754.054
257,-1930.9999,-2076.9353
258,-1749.9999,-1781.3673
259,-1832.0001,-884.87885
260,-1865.0,-558.21844
261,-1459.9999,-205.69781
262,-1277.9999,115.08632
263,-433.00024,738.032
264,-461.99976,-696.20917
265,-925.0,-759.3972
266,-1458.9999,-987.3167
267,-2147.0,-1354.2388
268,-2560.0002,-1909.8762
269,-2583.0,-1551.2971
270,-3340.0,-1627.8184
271,-3224.0,-1501.8534
272,-2352.0,-1076.6454
273,-1646.0,-695.1154
274,-2035.9999,-727.5418
275,-2294.0,-902.4057
276,-2301.0,-1073.7646
277,-2688.0,-1309.0521
278,-3120.0,-1616.8623
279,-3413.0,-2328.9119
280,-3768.0,-2830.9016
281,-4204.0,-3360.5718
282,-4000.0,-2825.083
283,-4105.0,-2455.7168
284,-4235.0,-2374.0808
285,-4048.0,-2081.0403
286,-2980.0,-1629.3191
287,-2220.0,-1020.83325
288,-2826.0,-2028.8838
289,-3570.0,-2117.6465
290,-3700.0,-2467.646
291,-3983.0,-2640.2234
292,-4385.0,-3218.811
293,-4299.0,-2808.8164
294,-4476.0,-2879.3362
295,-3937.0,-2810.4023
296,-3416.0,-2440.0862
297,-3097.0,-2244.6821
298,-3302.0,-2083.803
299,-3481.0,-2139.3953
300,-3318.0,-2195.0415
301,-3548.0,-2683.7415
302,-3651.0,-2794.9424
303,-4099.0,-3504.3572
304,-4396.0,-3776.107
305,-4440.0,-4041.5974
306,-4286.0,-3967.2532
307,-4243.0,-3613.0525
308,-4335.0,-3507.3184
309,-4226.0,-3133.5056
310,-3281.0,-2660.1396
311,-2617.0,-1975.678
312,-2427.0,-2375.4216
313,-2732.0,-2579.323
314,-3164.0,-2825.9456
315,-3708.0,-2993.0132
316,-3941.0,-3352.835
317,-3813.0,-3170.4917
318,-3583.9998,-3193.9062
319,-3415.0,-3136.7798
320,-2496.0,-2829.115
321,-2236.0,-2653.14
322,-2594.0,-2458.1633
323,-2550.0,-2442.2646
324,-2320.0,-2318.611
325,-2732.0,-2711.512
326,-3054.0,-2853.3638
327,-3502.0,-3353.9746
328,-3973.0,-3607.7642
329,-4130.0,-3752.4834
330,-3947.9998,-3586.337
331,-3784.0,-3327.3877
332,-3813.0,-3288.762
333,-3763.0,-3076.9658
334,-2991.0,-2543.5354
335,-2466.0,-2002.3562
336,-2709.0,-2229.978
337,-2923.9998,-2396.957
338,-3242.0,-2631.4612
339,-3614.0,-2964.661
340,-3806.0,-3181.8804
341,-3769.0,-3097.6663
342,-3595.0,-3080.169
343,-3420.0,-2777.517
344,-2832.0,-2450.2441
345,-2920.0,-2259.1611
346,-3241.0,-2179.9814
347,-3525.0,-2121.9883
348,-3568.0,-2040.7662
349,-3940.0,-2268.0918
350,-4085.0,-2488.6013
351,-4183.0,-2961.7666
352,-4313.0,-3289.2087
353,-4147.0,-3452.7537
354,-3962.0,-3226.7253
355,-4064.0,-2909.0554
356,-3889.0,-2887.256
357,-3438.0,-2879.7837
358,-2774.0,-2223.016
359,-2110.0,-1659.0352
360,-2727.0002,-2312.6296
361,-3103.0,-2562.0972
362,-3603.0,-2740.1462
363,-4285.0,-2950.2551
364,-4402.0,-3302.4702
365,-4088.0,-3118.9736
366,-4237.0,-3097.1653
367,-4041.0,-2923.9448
368,-3191.0,-2703.9048
369,-2573.0,-2489.6108
370,-2277.0,-2321.3613
371,-2155.0,-2222.1611
372,-1567.9998,-2164.674
373,-1495.0,-2490.021
374,-1566.9999,-2721.6382
375,-2076.0,-3322.6184
376,-2619.0,-3508.113
377,-3582.0,-3733.8992
378,-3830.0,-3516.0645
379,-3923.0,-3239.3833
380,-3880.0002,-3215.8896
381,-3446.0,-3011.6924
382,-2543.0,-2485.4219
383,-1534.9999,-1854.0691
384,-1609.0,-2004.7637
385,-1699.0,-2181.5007
386,-2191.0,-2336.5413
387,-2595.0,-2663.5378
388,-2722.0,-3052.6929
389,-2495.0,-2757.8347
390,-2465.0,-2759.9814
391,-2234.0002,-2528.0964
392,-1489.9999,-2262.9338
393,-907.0001,-2044.1588
394,-653.0,-1853.7969
395,-15.000006,-1749.5272
396,723.0002,-1798.2068
397,467.00012,-2138.371
398,-540.0002,-2402.3037
399,-1183.0,-3192.5508
400,-1803.0001,-3428.2688
401,-2420.0,-3861.3984
402,-3052.0,-3571.927
403,-3372.0,-3297.0117
404,-3581.0,-3254.953
405,-3218.0,-2990.678
406,-2342.0,-2448.1555
407,-1543.0001,-1662.8751
408,-1534.9999,-1994.258
409,-1831.0001,-2197.0354
410,-2454.0,-2327.3826
411,-3194.0,-2714.7146
412,-3407.0,-2937.0278
413,-3173.0,-2812.4565
414,-3465.0,-2863.486
415,-3165.0,-2781.9788
416,-2739.0,-2538.6646
417,-2170.0,-2256.3296
418,-1800.0001,-1947.2528
419,-1509.0,-1825.5009
420,-579.9999,-1560.1564
421,-647.0002,-1885.5544
422,-1123.0,-2093.6958
423,-1950.0,-2683.354
424,-2736.0,-3100.2915
425,-2950.0,-3545.955
426,-2703.0,-3301.6685
427,-2778.0,-3083.3955
428,-2941.0,-3064.228
429,-2751.0,-2802.8235
430,-2137.0,-2289.3389
431,-1260.9999,-1601.6301
432,-1420.0,-2059.4238
433,-2314.0,-2089.8591
434,-3172.0,-2445.8733
435,-3738.0,-2676.1218
436,-4139.0,-3287.1191
437,-3909.0,-2765.0266
438,-3806.0,-2891.0974
439,-3146.0,-2646.6587
440,-3562.0,-2328.0215
441,-3204.0,-2158.314
442,-3204.0,-2055.9653
443,-3296.0,-2157.5479
444,-2851.0,-2311.5237
445,-2905.0,-2796.1665
446,-2748.0,-2895.5942
447,-3531.0002,-3592.4792
448,-3768.0,-3817.121
449,-3230.0,-4111.705
450,-2885.0,-3919.4763
451,-2556.0,-3537.9814
452,-2878.0,-3466.846
453,-2527.0,-3184.504
454,-1482.0001,-2660.1162
455,-1191.0,-1993.1421
456,-2281.0,-1880.4062
457,-2994.0,-1893.3605
458,-3046.0,-2245.3225
459,-3500.0,-2589.12
460,-3818.0,-3074.9985
461,-3894.0,-2692.9717
462,-3850.0,-2766.8862
463,-3486.0,-2342.1733
464,-3253.0,-2043.0115
465,-3033.0,-1925.7473
466,-3569.0002,-1939.2123
467,-3893.0,-2000.9149
468,-4162.0,-2138.7263
469,-4550.0,-2551.637
470,-4441.0,-2739.735
471,-4314.0,-3410.089
472,-4239.0,-3663.2893
473,-4149.0,-3756.0786
474,-3674.9998,-3436.1648
475,-3276.0,-2884.1875
476,-3250.0,-2827.3442
477,-2715.0,-2866.243
478,-1770.0001,-2182.044
479,-1139.0,-1518.8339
480,-1297.0,-1506.2782
481,-1539.0,-1519.3551
482,-1944.9999,-1816.232
483,-2132.0,-2108.1511
484,-2288.0,-2584.3987
485,-2559.0,-2289.287
486,-2608.0,-2390.3887
487,-2311.0,-2269.0615
488,-1975.9999,-1759.1866
489,-2344.0,-1486.9851
490,-2777.0,-1460.7407
491,-2780.0002,-1494.9028
492,-2378.0002,-1586.5735
493,-2532.0,-1866.5732
494,-2540.0,-2109.5278
495,-2584.0,-2866.9685
496,-2619.0,-3270.3005
497,-2548.0,-3840.0034
498,-2260.0,-3597.4805
499,-2389.0,-3220.838
500,-3142.0,-3122.5957
501,-3248.0,-2880.1074
502,-2257.0,-2260.5576
503,-1586.0,-1511.8966
504,-2390.0,-1587.5378
505,-3318.0,-1525.5231
506,-3613.0,-1869.789
507,-3742.0,-2049.9492
508,-3884.0,-3051.5203
509,-4064.0,-2144.9407
510,-3780.0,-2339.1868
511,-3593.0,-2077.3435
512,-2555.0,-1565.3474
513,-2015.0001,-1350.9569
514,-1892.0001,-1333.619
515,-1484.0001,-1507.5385
516,-1510.0,-1750.3069
517,-1925.0,-2404.112
518,-2042.0,-2472.1187
519,-2127.9998,-3585.7349
520,-2377.0,-3849.6826
521,-2566.0,-4313.5493
522,-2784.0,-4351.796
523,-3354.0,-4073.3616
524,-3972.0,-3982.8513
525,-3902.0,-3417.704
526,-2982.0,-2968.7256
527,-2932.0,-1786.0868
528,-3349.0002,-2195.4456
529,-3900.0,-2383.8257
530,-3864.0,-2476.2722
531,-3827.0,-2875.3313
532,-3904.0,-3242.1648
533,-3933.0002,-2814.1565
534,-4150.0,-3002.0435
535,-3689.0,-2525.575
536,-2670.0,-2229.1558
537,-2158.0002,-1895.2876
538,-1836.0,-1830.2021
539,-1801.0001,-1778.8917
540,-1670.9999,-1892.6754
541,-1838.9999,-2152.5063
542,-1922.0001,-2416.3135
543,-2616.0,-3129.6987
544,-3233.0,-3261.7524
545,-3679.0,-3803.1172
546,-3636.9998,-3531.9834
547,-3928.0,-3362.1914
548,-3871.0,-3273.2693
549,-3808.0,-3204.616
550,-3055.0,-2522.17
551,-2262.0,-1770.5168
552,-2395.0,-2168.334
553,-3043.0,-2296.6785
554,-3451.0,-2460.2798
555,-3568.0,-2800.293
556,-3681.0,-3221.043
557,-3771.0,-2820.3015
558,-3697.0,-2856.2278
559,-3572.0,-2568.2974
560,-3156.0,-2303.2983
561,-2659.0,-2117.9
562,-2607.0,-1954.3676
563,-2486.0,-1934.9648
564,-1784.0,-2017.5779
565,-2046.0001,-2391.2441
566,-2638.0,-2608.7842
567,-3542.0,-3343.1753
568,-3907.0,-3537.6497
569,-3768.0,-3926.1401
570,-3515.0,-3740.5117
571,-3435.0,-3452.36
572,-3207.0,-3382.633
573,-3118.0,-3183.6812
574,-2325.0002,-2590.462
575,-1747.9999,-1842.4237
576,-2752.0,-880.3055
577,-2798.0,-1228.0088
578,-3056.0,-1760.3962
579,-3370.0,-1966.8746
580,-3174.0,-2272.7883
581,-2821.0,-2259.4265
582,-2556.0,-2392.9158
583,-2736.0,-2138.5286
584,-2207.0,-1896.793
585,-1573.0001,-1116.7429
586,-1208.0002,-812.95306
587,-693.0002,-80.06751
588,297.0002,217.8522
589,-136.99998,276.9081
590,-482.00012,-262.88092
591,-1193.0002,-919.75415
592,-1693.0,-1143.8107
593,-2313.0,-1453.4631
594,-2633.0,-1612.5645
595,-3035.0,-1418.2776
596,-2934.0,-1479.1207
597,-3073.0,-1139.6238
598,-2554.0,-507.36676
599,-2150.0,302.36447
600,-1996.0,-1679.6682
601,-2202.0,-1555.0602
602,-2838.0,-1811.4506
603,-2933.0,-2014.9268
604,-3080.0,-2696.8909
605,-3264.0,-2154.4756
606,-3325.0,-2439.9324
607,-3422.0,-2112.9878
608,-3526.0,-1474.0143
609,-2698.0,-1254.6173
610,-2097.0,-1222.1117
611,-1921.0002,-1335.3604
612,-1545.0001,-1518.0222
613,-2102.0,-1819.2184
614,-2843.0,-1940.3542
615,-3252.0,-2979.2583
616,-3474.0,-3292.6726
617,-3743.0,-4042.031
618,-3547.0,-3816.4353
619,-3447.0,-3567.484
620,-3480.0,-3431.5066
621,-3459.0,-3137.1987
622,-3692.0,-2640.206
623,-3388.0,-1692.9966
624,-3686.0,-1832.3733
625,-3977.0,-1739.8003
626,-3994.0,-2113.454
627,-3935.0,-2472.061
628,-3824.0,-3386.0762
629,-3697.0,-2504.059
630,-3586.0,-2680.0813
631,-3234.0,-2217.7644
632,-3285.0,-1954.8417
633,-3329.0,-1680.892
634,-3478.0,-1739.9532
635,-3592.0,-1892.1852
636,-3681.0,-2299.7224
637,-3623.0,-2839.7495
638,-3650.0,-3011.447
639,-3482.0,-3950.7732
640,-3392.0,-4034.1062
641,-3571.0,-4253.4863
642,-3361.0,-4009.79
643,-3204.0,-3727.148
644,-3287.9998,-3485.4163
645,-3228.0,-3307.182
646,-2600.0,-2682.2373
647,-2357.0,-1789.3132
648,-2537.0,-881.91815
649,-2958.0,-709.138
650,-3062.0,-1180.7571
651,-3199.0,-1626.5032
652,-3202.0,-3038.86
653,-3452.0,-1585.327
654,-3450.0,-1993.2822
655,-3318.0,-1605.0706
656,-3077.0,-1131.9305
657,-3156.0,-731.0763
658,-3227.0,-783.2416
659,-3096.0,-1116.6158
660,-2858.0,-1706.2473
661,-3142.0,-2634.0732
662,-3270.0,-2768.627
663,-3583.0,-4017.8208
